"","Name","Grade","Area","Country","First.Ascensionist","FA.date","Climber","Date","Style","Note","Source"
"195","Flat Mountain","9a+","Fugato","Japan","Yuji Hirayama","2003-03","Alexander Megos","2015-03","Redpoint","",""
"196","Flex Luthor","9a+","Rifle","United States","Tommy Caldwell","2003-01","Tommy Caldwell","2003-01","Redpoint","",""
"197","Following the Leader","9a+","Cuenca","Spain","Pablo Barbero","2014-11","Pablo Barbero","2014-11","Redpoint","",""
"198","Following the Leader","9a+","Cuenca","Spain","Pablo Barbero","2014-11","Ramón Julián Puigblanqué","2015-04-01","Redpoint","",""
"199","Goldrake","9a+","Cornalba","Italy","Adam Ondra","2010-04-07","Adam Ondra","2010-04-07","Redpoint","",""
"200","Goldrake","9a+","Cornalba","Italy","Adam Ondra","2010-04-07","Gabriele Moroni","2014-10-29","Redpoint","",""
"201","Goldrake","9a+","Cornalba","Italy","Adam Ondra","2010-04-07","Stefano Carnati","2016-03-20","Redpoint","",""
"202","Goldrake","9a+","Cornalba","Italy","Adam Ondra","2010-04-07","Stefano Ghisolfi","2016-04-03","Redpoint","",""
"203","Goldrake","9a+","Cornalba","Italy","Adam Ondra","2010-04-07","Silvio Reffo","2016-05-15","Redpoint","",""
"204","Hellracer","9a+","Hell","Norway","Adam Ondra","2013-09-22","Adam Ondra","2013-09-22","Redpoint","",""
"205","Hyper finale","9a+","Rawyl","Switzerland","Adam Ondra","2016-07-17","Adam Ondra","2016-07-17","Redpoint","",""
"206","Jaws II","9a+","Rumney","United States","Vasya Vorotnikov","2007-10-14","Vasya Vorotnikov","2007-10-14","Redpoint","",""
"207","Jaws II","9a+","Rumney","United States","Vasya Vorotnikov","2007-10-14","Daniel Woods","2010-10-05","Redpoint","",""
"208","Jaws II","9a+","Rumney","United States","Vasya Vorotnikov","2007-10-14","Mike Foley","2011-07-25","Redpoint","",""
"209","Jaws II","9a+","Rumney","United States","Vasya Vorotnikov","2007-10-14","Andrew Palmer","2013-10-20","Redpoint","",""
"210","Jaws II","9a+","Rumney","United States","Vasya Vorotnikov","2007-10-14","Paul Robinson","2013-10-30","Redpoint","",""
"211","Jaws II","9a+","Rumney","United States","Vasya Vorotnikov","2007-10-14","Alexander Megos","2017-10-10","Redpoint","",""
"212","Jaws II","9a+","Rumney","United States","Vasya Vorotnikov","2007-10-14","Tristan Chen","2018-08-31","Redpoint","",""
"213","Joe Mama","9a+","Oliana","Spain","Klemen Becan","2016-03-01","Klemen Becan","2016-03-01","Redpoint","",""
"214","Joe Mama","9a+","Oliana","Spain","Klemen Becan","2016-03-01","Chris Sharma","2016-10","Redpoint","",""
"215","Joe Mama","9a+","Oliana","Spain","Klemen Becan","2016-03-01","Jakob Schubert","2016-12-27","Redpoint","",""
"216","Joe Mama","9a+","Oliana","Spain","Klemen Becan","2016-03-01","Matty Hong","2017-03-17","Redpoint","",""
"217","Joe Mama","9a+","Oliana","Spain","Klemen Becan","2016-03-01","Jonathan Siegrist","2017-04-20","Redpoint","",""
"218","Joe Mama","9a+","Oliana","Spain","Klemen Becan","2016-03-01","Jon Cardwell","2019-02-27","Redpoint","",""
"219","Joe Mama","9a+","Oliana","Spain","Klemen Becan","2016-03-01","Sean Bailey","2019-03-03","Redpoint","",""
"220","Joe Mama","9a+","Oliana","Spain","Klemen Becan","2016-03-01","Anak Verhoeven","2019-11-07","Redpoint","More solid 9a+ after recent breakage",""
"221","Joe Mama","9a+","Oliana","Spain","Klemen Becan","2016-03-01","Sébastien Bouin","2020-02-07","Redpoint","Says 9a(+) on instagram",""
"222","Joe Mama","9a+","Oliana","Spain","Klemen Becan","2016-03-01","Cédric Lachat","2020-02-07","Redpoint","Says easy 9a+",""
"223","Joe Mama","9a+","Oliana","Spain","Klemen Becan","2016-03-01","Piotr Schab","2020-03-01","Redpoint","",""
"224","Joe Mama","9a+","Oliana","Spain","Klemen Becan","2016-03-01","Jorge Díaz-Rullo","2020-03-07","Redpoint","",""
"225","Jungle Boogie","9a+","Céüse","France","Adam Ondra","2012-06-07","Adam Ondra","2012-06-07","Redpoint","",""
"226","Jungle Boogie","9a+","Céüse","France","Adam Ondra","2012-06-07","Sachi Amma","2015-09","Redpoint","",""
"227","Jungle Boogie","9a+","Céüse","France","Adam Ondra","2012-06-07","Stefano Ghisolfi","2016-10-03","Redpoint","",""
"228","Jungle Boogie","9a+","Céüse","France","Adam Ondra","2012-06-07","Alexander Megos","2017-06-21","Redpoint","",""
"229","Jungle Boogie","9a+","Céüse","France","Adam Ondra","2012-06-07","Stefano Carnati","2020-07-06","Redpoint","",""
"230","Kangoroo's Limb","9a+","Flatanger","Norway","Adam Ondra","2013-09-21","Adam Ondra","2013-09-21","Redpoint","",""
"231","Kangoroo's Limb","9a+","Flatanger","Norway","Adam Ondra","2013-09-21","Jakob Schubert","2016-05","Redpoint","",""
"232","Kmira","9a+","Pic St Loup","France","Sébastien Bouin","2015-07-09","Sébastien Bouin","2015-07-09","Redpoint","",""
"233","L'étrange ivresse des lenteurs","9a+","Céüse","France","Adam Ondra","2010-09-06","Adam Ondra","2010-09-06","Redpoint","",""
"234","L'étrange ivresse des lenteurs","9a+","Céüse","France","Adam Ondra","2010-09-06","Alexander Megos","2020-09-07","Redpoint","Claims 9a/b and much harder than other 9a+ at Céüse","https://www.desnivel.com/escalada-roca/alex-megos-propone-subir-a-9a-b-letrange-ivresse-des-lenteurs/"
"235","La Castagne","9a+","Saint-Léger-du-Ventoux","France","Adam Ondra","2018-02-03","Adam Ondra","2018-02-03","Redpoint","",""
"236","La Cène du Lézard","9a+","Jansegg","Switzerland","Pirmin Bertle","2017-12-01","Pirmin Bertle","2017-12-01","Redpoint","",""
"237","La Cène du Lézard","9a+","Jansegg","Switzerland","Pirmin Bertle","2017-12-01","Cédric Lachat","2018-10","Redpoint","",""
"238","La Côte d'Usure","9a+","Verdon","France","Sébastien Bouin","2018-09-23","Sébastien Bouin","2018-09-23","Redpoint","",""
"239","La Madone","9a+","Lourmarin","France","Gérôme Pouvreau","2011-06-18","Gérôme Pouvreau","2011-06-18","Redpoint","",""
"240","La Madone","9a+","Lourmarin","France","Gérôme Pouvreau","2011-06-18","Sébastien Bouin","2012-05-20","Redpoint","",""
"241","La Moustache qui fâche","9a+","Entraygues","France","Enzo Oddo","2011-06-16","Enzo Oddo","2011-06-16","Redpoint","",""
"242","La Moustache qui fâche","9a+","Entraygues","France","Enzo Oddo","2011-06-16","Stefano Ghisolfi","2014-08-23","Redpoint","",""
"243","La Moustache qui fâche","9a+","Entraygues","France","Enzo Oddo","2011-06-16","Hugo Parmentier","2019-07-30","Redpoint","",""
"244","La Moustache qui fâche","9a+","Entraygues","France","Enzo Oddo","2011-06-16","Sébastien Bouin","2020-08-28","Redpoint","","https://www.grimper.com/news-la-moustache-fache-9a-seb-bouin"
"245","La Rambla","9a+","Siurana","Spain","Ramón Julián Puigblanqué","2003-03-08","Ramón Julián Puigblanqué","2003-03-08","Redpoint","",""
"246","La Rambla","9a+","Siurana","Spain","Ramón Julián Puigblanqué","2003-03-08","Edu Marin","2006-11-30","Redpoint","",""
"247","La Rambla","9a+","Siurana","Spain","Ramón Julián Puigblanqué","2003-03-08","Chris Sharma","2006-12-01","Redpoint","",""
"248","La Rambla","9a+","Siurana","Spain","Ramón Julián Puigblanqué","2003-03-08","Andreas Bindhammer","2007-05-02","Redpoint","",""
"249","La Rambla","9a+","Siurana","Spain","Ramón Julián Puigblanqué","2003-03-08","Patxi Usobiaga","2007-11-27","Redpoint","",""
"250","La Rambla","9a+","Siurana","Spain","Ramón Julián Puigblanqué","2003-03-08","Adam Ondra","2008-02-10","Redpoint","",""
"251","La Rambla","9a+","Siurana","Spain","Ramón Julián Puigblanqué","2003-03-08","Enzo Oddo","2011-12-23","Redpoint","",""
"252","La Rambla","9a+","Siurana","Spain","Ramón Julián Puigblanqué","2003-03-08","Sachi Amma","2012-11-29","Redpoint","",""
"253","La Rambla","9a+","Siurana","Spain","Ramón Julián Puigblanqué","2003-03-08","Felix Neumärker","2013-03-19","Redpoint","",""
"254","La Rambla","9a+","Siurana","Spain","Ramón Julián Puigblanqué","2003-03-08","Alexander Megos","2013-03-29","Redpoint","",""
"255","La Rambla","9a+","Siurana","Spain","Ramón Julián Puigblanqué","2003-03-08","Sangwon Son","2013-12","Redpoint","",""
"256","La Rambla","9a+","Siurana","Spain","Ramón Julián Puigblanqué","2003-03-08","Daniel Jung","2014-01","Redpoint","",""
"257","La Rambla","9a+","Siurana","Spain","Ramón Julián Puigblanqué","2003-03-08","Jonathan Siegrist","2015-03-05","Redpoint","",""
"258","La Rambla","9a+","Siurana","Spain","Ramón Julián Puigblanqué","2003-03-08","David Firnenburg","2017-02-10","Redpoint","",""
"259","La Rambla","9a+","Siurana","Spain","Ramón Julián Puigblanqué","2003-03-08","Matty Hong","2017-02-25","Redpoint","",""
"260","La Rambla","9a+","Siurana","Spain","Ramón Julián Puigblanqué","2003-03-08","Margo Hayes","2017-02-26","Redpoint","",""
"261","La Rambla","9a+","Siurana","Spain","Ramón Julián Puigblanqué","2003-03-08","Stefano Ghisolfi","2017-03-21","Redpoint","",""
"262","La Rambla","9a+","Siurana","Spain","Ramón Julián Puigblanqué","2003-03-08","Jacopo Larcher","2017-03-21","Redpoint","",""
"263","La Rambla","9a+","Siurana","Spain","Ramón Julián Puigblanqué","2003-03-08","Klemen Becan","2017-04-15","Redpoint","",""
"264","La Rambla","9a+","Siurana","Spain","Ramón Julián Puigblanqué","2003-03-08","Sébastien Bouin","2017-12-06","Redpoint","",""
"265","La Rambla","9a+","Siurana","Spain","Ramón Julián Puigblanqué","2003-03-08","Tomas Ravanal","2018-01-10","Redpoint","",""
"266","La Rambla","9a+","Siurana","Spain","Ramón Julián Puigblanqué","2003-03-08","Gerard Rull","2018-02-23","Redpoint","",""
"267","La Rambla","9a+","Siurana","Spain","Ramón Julián Puigblanqué","2003-03-08","Jon Cardwell","2018-03-04","Redpoint","",""
"268","La Rambla","9a+","Siurana","Spain","Ramón Julián Puigblanqué","2003-03-08","Piotr Schab","2019-02-08","Redpoint","",""
"269","La Rambla","9a+","Siurana","Spain","Ramón Julián Puigblanqué","2003-03-08","Dave Graham","2019-03-02","Redpoint","",""
"270","La Rambla","9a+","Siurana","Spain","Ramón Julián Puigblanqué","2003-03-08","Gonzalo Larrocha","2019-03-16","Redpoint","",""
"271","La Rambla","9a+","Siurana","Spain","Ramón Julián Puigblanqué","2003-03-08","Cédric Lachat","2019-11-01","Redpoint","",""
"272","Le Vent Nous Portera","9a+","Socaire","Chile","Pirmin Bertle","2017-10","Pirmin Bertle","2017-10","Redpoint","",""
"273","Licht une Schatten","9a+","Telli","Switzerland","Stefan Schibli","2015-11-15","Stefan Schibli","2015-11-15","Redpoint","",""
"274","Maturity","9a+","Gozen-iwa","Japan","Sachi Amma","2017-12","Sachi Amma","2017-12","Redpoint","",""
"275","Maya","9a+","Margalef","Spain","Ramón Julián Puigblanqué","2016-09-10","Ramón Julián Puigblanqué","2016-09-10","Redpoint","",""
"276","Me, I eat dust","9a+","Austin Hill Country","United States","Cody Roth","2017-01","Cody Roth","2017-01","Redpoint","Secret crag, originally reported as 9a. Upgraded without repeats a year later?",""
"277","Meiose","9a+","Charmey","Switzerland","Pirmin Bertle","2015-11-19","Pirmin Bertle","2015-11-19","Redpoint","",""
"278","Meiose","9a+","Charmey","Switzerland","Pirmin Bertle","2015-11-19","Adam Ondra","2018-01-27","Redpoint","",""
"279","Minimalomania","9a+","Lindental","Switzerland","Pirmin Bertle","2013-03","Pirmin Bertle","2013-03","Redpoint","",""
"280","Modified","9a+","Frankenjura","Germany","Alexander Megos","2014-06-17","Alexander Megos","2014-06-17","Redpoint","",""
"281","Modified","9a+","Frankenjura","Germany","Alexander Megos","2014-06-17","Adam Ondra","2015-10-28","Redpoint","",""
"282","Modified","9a+","Frankenjura","Germany","Alexander Megos","2014-06-17","David Firnenburg","2018-11","Redpoint","",""
"283","Mona Lisa Integral","9a+","Rodellar","Spain","Jose Luis Palao","2020-06-14","Jose Luis Palao","2020-06-14","Redpoint","",""
"284","Naturalmente","9a+","Camaiore","Italy","Adam Ondra","2017-04-21","Adam Ondra","2017-04-21","Redpoint","",""
"285","Nit de Bruixes","9a+","Margalef","Spain","Iker Pou","2012-01-11","Iker Pou","2012-01-11","Redpoint","",""
"286","Nit de Bruixes","9a+","Margalef","Spain","Iker Pou","2012-01-11","Ramón Julián Puigblanqué","2012-07","Redpoint","",""
"287","Obrint el sistema","9a+","Santa Ana","Spain","Adam Ondra","2011-03-14","Adam Ondra","2011-03-14","Redpoint","",""
"288","One Punch","9a+","Arco","Italy","Stefano Ghisolfi","2017-05-01","Stefano Ghisolfi","2017-05-01","Redpoint","",""
"289","One Punch","9a+","Arco","Italy","Stefano Ghisolfi","2017-05-01","Adam Ondra","2017-11","Redpoint","",""
"290","Open Air","9a+","Schleierwasserfall","Austria","Alexander Huber","1996","Alexander Huber","1996","Redpoint","",""
"291","Open Air","9a+","Schleierwasserfall","Austria","Alexander Huber","1996","Adam Ondra","2008-11-17","Redpoint","",""
"292","Orujo","9a+","Archidona","Spain","Bernabé Fernández","1998","Bernabé Fernández","1998","Redpoint","Disputed ascent",""
"293","Outro","9a+","Achleiten","Austria","Roland Hemetzberger","2015-12","Roland Hemetzberger","2015-12","Redpoint","",""
"294","Overshadow","9a+","Malham Cove","United Kingdom","Steve McClure","2007-05-28","Steve McClure","2007-05-28","Redpoint","",""
"295","Overshadow","9a+","Malham Cove","United Kingdom","Steve McClure","2007-05-28","Adam Ondra","2011-05-17","Redpoint","",""
"296","Pachamama","9a+","Oliana","Spain","Chris Sharma","2009","Chris Sharma","2009-05-31","Redpoint","",""
"297","Pachamama","9a+","Oliana","Spain","Chris Sharma","2009","Sachi Amma","2011-12-18","Redpoint","",""
"298","Pachamama","9a+","Oliana","Spain","Chris Sharma","2009","Ramón Julián Puigblanqué","2015-04-03","Redpoint","",""
"299","Pachamama","9a+","Oliana","Spain","Chris Sharma","2009","Jakob Schubert","2017-01-02","Redpoint","",""
"300","Pachamama","9a+","Oliana","Spain","Chris Sharma","2009","Adam Ondra","2017-02-03","Redpoint","",""
"301","Pachamama","9a+","Oliana","Spain","Chris Sharma","2009","Jonathan Siegrist","2017-04-12","Redpoint","",""
"302","Pachamama","9a+","Oliana","Spain","Chris Sharma","2009","Patxi Usobiaga","2017-11-10","Redpoint","",""
"303","Pachamama","9a+","Oliana","Spain","Chris Sharma","2009","Sébastien Bouin","2019-03-05","Redpoint","",""
"304","Pachamama","9a+","Oliana","Spain","Chris Sharma","2009","Cédric Lachat","2020-01-19","Redpoint","Exact date not known.",""
"305","Panorama","9a+","Patones","Spain","Jorge Díaz-Rullo","2018-07-15","Jorge Díaz-Rullo","2018-07-15","Redpoint","",""
"306","Papichulo","9a+","Oliana","Spain","Chris Sharma","2008-05-31","Chris Sharma","2008-05-31","Redpoint","",""
"307","Papichulo","9a+","Oliana","Spain","Chris Sharma","2008-05-31","Adam Ondra","2009-02-24","Redpoint","",""
"308","Papichulo","9a+","Oliana","Spain","Chris Sharma","2008-05-31","Ramón Julián Puigblanqué","2009-03-23","Redpoint","",""
"309","Papichulo","9a+","Oliana","Spain","Chris Sharma","2008-05-31","Sachi Amma","2010-12-25","Redpoint","",""
"310","Papichulo","9a+","Oliana","Spain","Chris Sharma","2008-05-31","Cédric Lachat","2011-04-03","Redpoint","",""
"311","Papichulo","9a+","Oliana","Spain","Chris Sharma","2008-05-31","Jakob Schubert","2011-04-27","Redpoint","",""
"312","Papichulo","9a+","Oliana","Spain","Chris Sharma","2008-05-31","Domen Skofic","2014-12-12","Redpoint","",""
"313","Papichulo","9a+","Oliana","Spain","Chris Sharma","2008-05-31","Magnus Midtbø","2015-03-22","Redpoint","",""
"314","Papichulo","9a+","Oliana","Spain","Chris Sharma","2008-05-31","Mateusz Haladaj","2015-05-30","Redpoint","",""
"315","Papichulo","9a+","Oliana","Spain","Chris Sharma","2008-05-31","Jonathan Siegrist","2015-11-18","Redpoint","",""
"316","Papichulo","9a+","Oliana","Spain","Chris Sharma","2008-05-31","Daniel Woods","2016-03-03","Redpoint","",""
"317","Papichulo","9a+","Oliana","Spain","Chris Sharma","2008-05-31","Matty Hong","2016-03-23","Redpoint","",""
"318","Papichulo","9a+","Oliana","Spain","Chris Sharma","2008-05-31","Said Belhaj","2016-04","Redpoint","Widely questioned",""
"319","Papichulo","9a+","Oliana","Spain","Chris Sharma","2008-05-31","Piotr Schab","2016-04-17","Redpoint","",""
"320","Papichulo","9a+","Oliana","Spain","Chris Sharma","2008-05-31","Klemen Becan","2016-06","Redpoint","",""
"321","Papichulo","9a+","Oliana","Spain","Chris Sharma","2008-05-31","Patxi Usobiaga","2017-03-31","Redpoint","",""
"322","Papichulo","9a+","Oliana","Spain","Chris Sharma","2008-05-31","Jon Cardwell","2017-04-12","Redpoint","",""
"323","Papichulo","9a+","Oliana","Spain","Chris Sharma","2008-05-31","Felipe Camargo","2017-04-22","Redpoint","",""
"324","Papichulo","9a+","Oliana","Spain","Chris Sharma","2008-05-31","Margo Hayes","2019-03-22","Redpoint","",""
"325","Papichulo","9a+","Oliana","Spain","Chris Sharma","2008-05-31","Kamil Ferenc","2019-04-15","Redpoint","Give or take a day for date",""
"326","Papichulo","9a+","Oliana","Spain","Chris Sharma","2008-05-31","Sébastien Bouin","2019-04-18","Redpoint","",""
"327","Papichulo","9a+","Oliana","Spain","Chris Sharma","2008-05-31","David Firnenburg","2020-01-18","Redpoint","",""
"328","Patanics","9a+","Rodellar","Spain","Jorge Díaz-Rullo","2019-08-26","Jorge Díaz-Rullo","2019-08-26","Redpoint","Claimed at 9b",""
"329","Patanics","9a+","Rodellar","Spain","Jorge Díaz-Rullo","2019-08-26","Sébastien Bouin","2019-10-30","Redpoint","Downgraded from 9b. Says 9a+ or easier",""
"330","Patanics","9a+","Rodellar","Spain","Jorge Díaz-Rullo","2019-08-26","Jonatan Flor","2020-07-03","Redpoint","","https://www.desnivel.com/escalada-roca/jonatan-flor-repite-patanics-9a-en-rodellar/"
"331","Perlorodka","9a+","Moravsky kras","Czechia","Adam Ondra","2011-09-08","Adam Ondra","2011-09-08","Redpoint","",""
"332","Peruvian Necktie","9a+","Pop tire cave","United States","James Litz","2013","James Litz","2013","Redpoint","Mystery ascent by strong dark horse",""
"333","Power Inverter","9a+","Oliana","Spain","Chris Sharma","2010-12-19","Chris Sharma","2010-12-19","Redpoint","",""
"334","Power Inverter","9a+","Oliana","Spain","Chris Sharma","2010-12-19","Adam Ondra","2013-01-25","Redpoint","",""
"335","Power Inverter","9a+","Oliana","Spain","Chris Sharma","2010-12-19","Ramón Julián Puigblanqué","2014-03-03","Redpoint","",""
"336","Power Inverter","9a+","Oliana","Spain","Chris Sharma","2010-12-19","Sachi Amma","2015-02-16","Redpoint","",""
"337","Power Inverter","9a+","Oliana","Spain","Chris Sharma","2010-12-19","Jonathan Siegrist","2015-12-02","Redpoint","",""
"338","Punt X","9a+","Gorges du Loup","France","Pierre Le Cerf","2020-09-01","Pierre Le Cerf","2020-09-01","Redpoint","First ascent after major hold breakages","https://www.grimper.com/news-pierre-cerf-repete-punt-recote-voie-9a-explications"
"339","Pure Dreaming plus","9a+","Arco","Italy","Adam Ondra","2018-02-25","Adam Ondra","2018-02-25","Redpoint","",""
"340","Pure Dreaming plus","9a+","Arco","Italy","Adam Ondra","2018-02-25","Laura Rogora","2020-05-29","Redpoint","",""
"341","Pure Dreaming plus","9a+","Arco","Italy","Adam Ondra","2018-02-25","Davide Picco","2020-07-11","Redpoint","",""
"342","Red Ram","9a+","Margalef","Spain","Ramón Julián Puigblanqué","2013-08-30","Ramón Julián Puigblanqué","2013-08-30","Redpoint","",""
"343","Rise","9a+","Futago-yama","Japan","Sachi Amma","2018-11","Sachi Amma","2018-11","Redpoint","",""
"344","Sacrifice","9a+","Echo Valley","Canada","Adam Ondra","2018-07-23","Adam Ondra","2018-07-23","Redpoint","",""
"345","Salamandre","9a+","Saint Pierre de Faucigny","France","Fred Rouhling","2007-11","Fred Rouhling","2007-11","Redpoint","",""
"346","Salamandre","9a+","Saint Pierre de Faucigny","France","Fred Rouhling","2007-11","Baptiste Dherbilly","2017-10-26","Redpoint","",""
"347","Sashidananda","9a+","Orgon","France","Gérôme Pouvreau","2009-05-28","Gérôme Pouvreau","2009-05-28","Redpoint","",""
"348","Sashidananda","9a+","Orgon","France","Gérôme Pouvreau","2009-05-28","Loïc Zehani","2018-04-10","Redpoint","",""
"349","Seleccio Anal","9a+","Santa Linya","Spain","Ramón Julián Puigblanqué","2013-12-21","Ramón Julián Puigblanqué","2013-12-21","Redpoint","",""
"350","Seleccio Anal","9a+","Santa Linya","Spain","Ramón Julián Puigblanqué","2013-12-21","Sachi Amma","2015-02-19","Redpoint","",""
"351","Seleccio Anal","9a+","Santa Linya","Spain","Ramón Julián Puigblanqué","2013-12-21","Edu Marin","2016-01-11","Redpoint","",""
"352","Seleccio Anal","9a+","Santa Linya","Spain","Ramón Julián Puigblanqué","2013-12-21","Magnus Midtbø","2016-03-05","Redpoint","",""
"353","Seleccio Anal","9a+","Santa Linya","Spain","Ramón Julián Puigblanqué","2013-12-21","Jakob Schubert","2017-01-08","Redpoint","",""
"354","Seleccio Anal","9a+","Santa Linya","Spain","Ramón Julián Puigblanqué","2013-12-21","Piotr Schab","2017-02-10","Redpoint","",""
"355","Seleccio Anal","9a+","Santa Linya","Spain","Ramón Julián Puigblanqué","2013-12-21","Kamil Ferenc","2017-04","Redpoint","",""
"356","Seta ibérica","9a+","Cuenca","Spain","Jorge Díaz-Rullo","2019-09-26","Jorge Díaz-Rullo","2019-09-26","Redpoint","","https://woguclimbing.com/jorge-diaz-rullo-primera-ascension-seta-iberica/"
"357","Seta ibérica","9a+","Cuenca","Spain","Jorge Díaz-Rullo","2019-09-28","Álex Garriga","2020-09-23","Redpoint","","https://www.desnivel.com/escalada-roca/alex-garriga-se-anota-la-primera-repeticion-de-seta-iberica-9a-en-cuenca/"
"358","Stone Butterfly","9a+","Herculane","Romania","Adam Ondra","2018-05-15","Adam Ondra","2018-05-15","Redpoint","",""
"359","Super Crackinette","9a+","Saint-Léger-du-Ventoux","France","Alexander Megos","2016-10","Alexander Megos","2016-10","Redpoint","",""
"360","Super Crackinette","9a+","Saint-Léger-du-Ventoux","France","Alexander Megos","2016-10","Adam Ondra","2018-02-10","Flash","",""
"361","Super Crackinette","9a+","Saint-Léger-du-Ventoux","France","Alexander Megos","2016-10","Gérôme Pouvreau","2018-04","Redpoint","",""
"362","Super Crackinette","9a+","Saint-Léger-du-Ventoux","France","Alexander Megos","2016-10","Julia Chanourdie","2020-03-13","Redpoint","",""
"363","The Bow","9a+","Arco","Italy","Stefano Ghisolfi","2020-07-13","Stefano Ghisolfi","2020-07-13","Redpoint","",""
"364","The Clinic","9a+","Quzhou","China","Edu Marin","2019-12-03","Edu Marin","2019-12-03","Redpoint","",""
"365","Thor's Hammer R2","9a+","Flatanger","Norway","Adam Ondra","2017-09","Adam Ondra","2017-09","Redpoint","",""
"366","Tinipi","9a+","Mont Kinabalu","Malaysia","Daniel Woods","2012-06","Daniel Woods","2012-06","Redpoint","",""
"367","Tinipi","9a+","Mont Kinabalu","Malaysia","Daniel Woods","2012-06","Sachi Amma","2015-05","Redpoint","",""
"368","Ultimatum","9a+","Arco","Italy","Stefano Ghisolfi","2016-12-19","Stefano Ghisolfi","2016-12-19","Redpoint","",""
"369","Ultimatum","9a+","Arco","Italy","Stefano Ghisolfi","2016-12-19","Eric Albertini","2017-04","Redpoint","",""
"370","Ultimatum","9a+","Arco","Italy","Stefano Ghisolfi","2016-12-19","Adam Ondra","2017-04-18","Redpoint","",""
"371","Underground > Pure dreaming","9a+","Arco","Italy","Adam Ondra","2018-02-25","Adam Ondra","2018-02-25","Redpoint","",""
"372","Valhalla P5","9a+","Getu","China","Edu Marin","2019-01-20","Edu Marin","2019-01-20","Redpoint","Integral ascent at later date",""
"373","Violent New Breed","9a+","Giggleswick","United Kingdom","John Gaskins","2004-06","John Gaskins","2004-06","Redpoint","Widely questioned ascent.",""
