"","Name","Grade","Area","Country","First.Ascensionist","FA.date","Climber","Date","Style","Note","Source"
"45","Jumbo love","9b","Clark Mountain","United States","Chris Sharma","2008-09-11","Ethan Pringle","2015-05-17","Redpoint","",""
"46","Jumbo love","9b","Clark Mountain","United States","Chris Sharma","2008-09-11","Jonathan Siegrist","2018-05-17","Redpoint","",""
"47","La Barrière","9b","Jansegg","Switzerland","Pirmin Bertle","2018-08-26","Pirmin Bertle","2018-08-26","Redpoint","",""
"48","La Capella","9b","Siurana","Spain","Adam Ondra","2011-02-16","Adam Ondra","2011-02-16","Redpoint","",""
"49","La Capella","9b","Siurana","Spain","Adam Ondra","2011-02-16","Daniel Woods","2018-05-02","Redpoint","",""
"50","La Capella","9b","Siurana","Spain","Adam Ondra","2011-02-16","Stefano Ghisolfi","2018-12-01","Redpoint","",""
"51","La Capella","9b","Siurana","Spain","Adam Ondra","2011-02-16","William Bosi","2020-02-05","Redpoint","Only 3 days",""
"52","La Planta de Shiva","9b","Villanueva del Rosario","Spain","Adam Ondra","2011-04-17","Adam Ondra","2011-04-17","Redpoint","",""
"53","La Planta de Shiva","9b","Villanueva del Rosario","Spain","Adam Ondra","2011-04-17","Jakob Schubert","2016-01-09","Redpoint","",""
"54","La Planta de Shiva","9b","Villanueva del Rosario","Spain","Adam Ondra","2011-04-17","Angela Eiter","2017-10","Redpoint","",""
"55","La Planta de Shiva","9b","Villanueva del Rosario","Spain","Adam Ondra","2011-04-17","Jonathan Siegrist","2019-05-05","Redpoint","",""
"56","La Planta de Shiva","9b","Villanueva del Rosario","Spain","Adam Ondra","2011-04-17","Jorge Díaz-Rullo","2019-05-28","Redpoint","",""
"57","Lapsus","9b","Andonno","Italy","Stefano Ghisolfi","2015-11-02","Stefano Ghisolfi","2015-11-02","Redpoint","",""
"58","Lapsus","9b","Andonno","Italy","Stefano Ghisolfi","2015-11-02","Adam Ondra","2017-04-20","Redpoint","",""
"59","Mamichula","9b","Oliana","Spain","Adam Ondra","2017-02-02","Adam Ondra","2017-02-02","Redpoint","",""
"60","Mamichula","9b","Oliana","Spain","Adam Ondra","2017-02-02","Sébastien Bouin","2019-04-15","Redpoint","",""
"61","Move Hard","9b","Flatanger","Norway","Adam Ondra","2017-07-10","Adam Ondra","2017-07-10","Redpoint","",""
"62","Neanderthal","9b","Santa Linya","Spain","Chris Sharma","2009-12-18","Chris Sharma","2009-12-18","Redpoint","",""
"63","Neanderthal","9b","Santa Linya","Spain","Chris Sharma","2009-12-18","Jakob Schubert","2018","Redpoint","",""
"64","Neanderthal","9b","Santa Linya","Spain","Chris Sharma","2009-12-18","Adam Ondra","2019-02-12","Redpoint","",""
"65","One Slap","9b","Arco","Italy","Adam Ondra","2017-11-13","Adam Ondra","2017-11-13","Redpoint","",""
"66","One Slap","9b","Arco","Italy","Adam Ondra","2017-11-13","Stefano Ghisolfi","2017-11-22","Redpoint","",""
"67","Queen Line","9b","Arco","Italy","Adam Ondra","2017-04-18","Adam Ondra","2017-04-18","Redpoint","",""
"68","Queen Line","9b","Arco","Italy","Adam Ondra","2017-04-18","Stefano Ghisolfi","2019-02-26","Redpoint","",""
"69","Rainman","9b","Malham Cove","United Kingdom","Steve McClure","2017-06-04","Steve McClure","2017-06-04","Redpoint","",""
"70","Robin úd","9b","Alternatívna stena","Slovakia","Adam Ondra","2016-10-05","Adam Ondra","2016-10-05","Redpoint","",""
"71","Soul Mate","9b","Okutama","Japan","Sachi Amma","2018-03","Sachi Amma","2018-03","Redpoint","",""
"72","Soul Rock Dance","9b","“Near Seoul“","South Korea","Hyunbin Min","2020-09-29","Hyunbin Min","2020-09-29","Redpoint","FAs previously hardest route: 9a.","https://www.desnivel.com/escalada-roca/hyunbin-min-propone-9b-para-soul-rock-dance-en-corea/"
"73","Stoking the fire","9b","Santa Linya","Spain","Chris Sharma","2013-02-06","Chris Sharma","2013-02-06","Redpoint","",""
"74","Stoking the fire","9b","Santa Linya","Spain","Chris Sharma","2013-02-06","Adam Ondra","2016-02-19","Redpoint","",""
"75","Stoking the fire","9b","Santa Linya","Spain","Chris Sharma","2013-02-06","Jakob Schubert","2018-01-05","Redpoint","",""
"76","Stoking the fire","9b","Santa Linya","Spain","Chris Sharma","2013-02-06","Sachi Amma","2019-03-25","Redpoint","",""
"77","Stoking the fire","9b","Santa Linya","Spain","Chris Sharma","2013-02-06","Stefano Ghisolfi","2019-12-28","Redpoint","",""
"78","The Dream","9b","Brar","Albania","Sébastien Bouin","2019-12-16","Sébastien Bouin","2019-12-16","Redpoint","Bolted by A. Ondra",""
"79","Alasha","9a+/b","Majorque","Spain","Chris Sharma","2016-09","Chris Sharma","2016-09","Redpoint","",""
