"","Name","Grade","Area","Country","First.Ascensionist","FA.date","Ascents"
"76","Chaxi","9a+","Oliana","Spain","Adam Ondra","2011-03",4
"77","Obrint el sistema","9a+","Santa Ana","Spain","Adam Ondra","2011-03-14",1
"78","La Moustache qui fâche","9a+","Entraygues","France","Enzo Oddo","2011-06-16",3
"79","La Madone","9a+","Lourmarin","France","Gérôme Pouvreau","2011-06-18",2
"80","Perlorodka","9a+","Moravsky kras","Czech","Adam Ondra","2011-09-08",1
"81","Black Bock","9a+","Cuenca","Spain","Luis Alfonso Felix","2011-12-02",1
"82","Nit de Bruixes","9a+","Margalef","Spain","Iker Pou","2012-01-11",2
"83","Tinipi","9a+","Mont Kinabalu","Malaysia","Daniel Woods","2012-06",2
"84","Jungle Boogie","9a+","Céüse","France","Adam Ondra","2012-06-07",4
"85","Celedon","9a+","Ilarduia","Spain","Iker Pou","2012-09-21",2
"86","Peruvian Necktie","9a+","Pop tire cave","United States","James Litz","2013",1
"87","Minimalomania","9a+","Lindental","Swiss","Pirmin Bertle","2013-03",1
"88","Classified","9a+","Frankenjura","Germany","Alexander Megos","2013-04",1
"89","Red Ram","9a+","Margalef","Spain","Ramón Julián Puigblanqué","2013-08-30",1
"90","Kangoroo's Limb","9a+","Flatanger","Norway","Adam Ondra","2013-09-21",2
"91","Hellracer","9a+","Hell","Norway","Adam Ondra","2013-09-22",1
"92","Seleccio Anal","9a+","Santa Linya","Spain","Ramón Julián Puigblanqué","2013-12-21",7
"93","Modified","9a+","Frankenjura","Germany","Alexander Megos","2014-06-17",3
"94","Becoming","9a+","Frankenjura","Germany","Markus Bock","2014-06-30",2
"95","Following the Leader","9a+","Cuenca","Spain","Pablo Barbero","2014-11",2
"96","Big men","9a+","Fraguel","Spain","Iker Pou","2015-04",1
"97","Kmira","9a+","Pic St Loup","France","Sébastien Bouin","2015-07-09",1
"98","Deep Spot","9a+","La Balme de Yenne","France","Mathieu Bouyoud","2015-08-08",1
"99","Licht une Schatten","9a+","Telli","Swiss","Stefan Schibli","2015-11-15",1
"100","Companion of Change","9a+","Zillertal","Austria","Jakob Schubert","2015-11-18",2
"101","Meiose","9a+","Charmey","Swiss","Pirmin Bertle","2015-11-19",2
"102","Outro","9a+","Achleiten","Austria","Roland Hemetzberger","2015-12",1
"103","Joe Mama","9a+","Oliana","Spain","Klemen Becan","2016-03-01",9
"104","120 Degrees","9a+","Flatanger","Norway","Adam Ondra","2016-06-16",1
"105","Hyper finale","9a+","Rawyl","Swiss","Adam Ondra","2016-07-17",1
"106","Maya","9a+","Margalef","Spain","Ramón Julián Puigblanqué","2016-09-10",1
"107","Super Crackinette","9a+","Saint-Léger-du-Ventoux","France","Alexander Megos","2016-10",3
"108","Ultimatum","9a+","Arco","Italy","Stefano Ghisolfi","2016-12-19",3
"109","Me, I eat dust","9a+","Austin Hill Country","United States","Cody Roth","2017-01",1
"110","Naturalmente","9a+","Camaiore","Italy","Adam Ondra","2017-04-21",1
"111","One Punch","9a+","Arco","Italy","Stefano Ghisolfi","2017-05-01",2
"112","Clash of the Titans","9a+","Götterwandl","Austria","Alexander Megos","2017-06-18",1
"113","Thor's Hammer R2","9a+","Flatanger","Norway","Adam Ondra","2017-09",1
"114","Le Vent Nous Portera","9a+","Socaire","Chile","Pirmin Bertle","2017-10",1
"115","Maturity","9a+","Gozen-iwa","Japan","Sachi Amma","2017-12",1
"116","La Cène du Lézard","9a+","Jansegg","Swiss","Pirmin Bertle","2017-12-01",2
"117","La Castagne","9a+","Saint-Léger-du-Ventoux","France","Adam Ondra","2018-02-03",1
"118","Underground > Pure dreaming","9a+","Arco","Italy","Adam Ondra","2018-02-25",1
"119","Stone Butterfly","9a+","Herculane","Romania","Adam Ondra","2018-05-15",1
"120","Ali Hulk (extension total)","9a+","Rodellar","Spain","Piotr Schab","2018-07",3
"121","Panorama","9a+","Patones","Spain","Jorge Diaz Rullo","2018-07-15",1
